category,exercise_name,description,best_for,facilitation_prompts,output_pattern
diagnosis,Five Whys Root Cause,Follow a cause chain beneath a symptom while testing each link rather than assuming five repetitions prove causality,Problems with a plausible linear cause chain,Why did this happen?|What evidence supports that link?|What enabled that cause?|Where might the chain branch?|What would disprove the proposed root cause?,symptom -> evidenced cause chain -> root-cause hypothesis -> test
diagnosis,Fishbone Diagram,Map plausible causes across people process materials equipment environment measurement and context before prioritising evidence,Multi-factor operational problems where causes may sit in several domains,What people factors contribute?|What process conditions?|What tools materials or information?|What environmental factors?|How is the problem measured?|Which branches have evidence?,effect -> cause families -> candidate causes -> evidence priorities
diagnosis,Problem Statement Refinement,Convert a vague complaint into an observable gap with scope impact and a decision to enable,Ambiguous problem statements or solution-first requests,What exactly is happening?|What should happen instead?|Who is affected and how?|When and where?|What decision must this enable?,complaint -> observable gap -> bounded problem statement
diagnosis,Is/Is Not Analysis,Contrast where when who and what exhibits the problem with closely comparable cases that do not,Intermittent or unevenly distributed problems,Where does it occur and not occur?|When does it happen and not happen?|Who is affected and not affected?|What is different between the paired cases?|What pattern does that suggest?,is/is-not contrasts -> distinctions -> causal clues
diagnosis,Systems Thinking,Map actors stocks flows feedback loops delays incentives and leverage points,Problems with recurrence feedback or unintended consequences,What are the system elements?|How do they influence one another?|What reinforces or balances behaviour?|Where are the delays?|Where could a small change have leverage?,system map -> dynamics -> leverage points -> tests
analysis,Force Field Analysis,Compare forces supporting a desired change with forces restraining it and choose where intervention is realistic,Adoption resistance stakeholder friction or stalled change,What drives movement toward the goal?|What restrains it?|Which forces are strongest?|Which can be reduced or strengthened?|Who controls them?,driving forces vs restraining forces -> influence points -> change strategy
analysis,Pareto Analysis,Rank measured causes by frequency cost or impact and inspect cumulative contribution,Problems with enough comparable data to identify a vital few,What causes are recorded?|Which impact measure matters?|How reliable and comparable is the data?|What is the cumulative contribution?|Would the ranking change under another measure?,cause data -> ranked contribution -> vital few -> focus
analysis,Gap Analysis,Compare current and desired states across relevant dimensions and prioritise the gaps that block the outcome,Planning improvement across several capabilities or performance dimensions,What is true now?|What must be true?|What gaps exist?|Which gaps are causal or merely correlated?|Which gap blocks the others?,current vs desired -> gaps -> dependencies -> priorities
analysis,Constraint Identification,Find the bottleneck limiting system throughput and distinguish it from local inefficiency,Capacity flow queue or delivery problems,What limits total throughput?|Where does work accumulate?|What happens if this constraint is relieved?|Are we optimising a non-constraint?|What becomes the next constraint?,system goal -> constraint -> exploit/elevate options -> next constraint
analysis,Failure Mode Analysis,Identify how a process or proposed intervention could fail and prioritise prevention detection and response,Reliability-sensitive processes and implementation planning,What can fail?|What causes it?|What is the effect?|How likely and detectable is it?|What prevention detection or response is proportionate?,components -> failure modes -> effects -> controls
synthesis,TRIZ Contradiction Matrix,Frame what must improve and what may worsen then use inventive principles to escape the apparent trade-off,Technical or operational contradictions where ordinary compromise is unsatisfying,What must improve?|What worsens when it does?|Is the contradiction physical technical or assumed?|Which separation or inventive principles suggest alternatives?|How do they translate here?,contradiction -> inventive principles -> adapted concepts
synthesis,Lateral Thinking Techniques,Use provocations reversals and random entry to break dominant patterns,Stuck solution spaces dominated by familiar answers,What assumption can we provoke?|What if the opposite were required?|What random stimulus changes the frame?|What idea seems impossible but contains a useful principle?,dominant pattern -> provocation -> novel directions -> usable principles
synthesis,Morphological Analysis,List independent solution dimensions and combine alternatives systematically,Problems whose solution can vary across several design parameters,What are the independent parameters?|What options exist for each?|Which combinations are coherent?|Which combinations have not been considered?|What constraints eliminate combinations?,parameters x options -> combinations -> candidate configurations
synthesis,Biomimicry Problem Solving,Look for analogous functions in living systems and translate principles rather than copying forms,Engineering service or resilience challenges with a meaningful natural analogy,How does nature perform this function?|At what scale and under what constraints?|What principle transfers?|Where does the analogy break?|How can it be tested?,function -> biological analogues -> principles -> adapted concepts
synthesis,Synectics Method,Use direct personal symbolic and fantasy analogies to make the familiar strange and the strange familiar,Groups needing a fresh shared perspective on a stubborn problem,What is this like?|How would you experience it personally?|What symbol or fantasy captures it?|What property of the analogy transfers?|What new option follows?,problem -> analogies -> transferred properties -> ideas
evaluation,Decision Matrix,Compare options against explicit weighted criteria and inspect sensitivity to subjective scores,Multi-criteria choices where trade-offs should be visible,What are the viable options?|Which criteria reflect the decision?|How were weights chosen?|What evidence supports each score?|Does the winner change under plausible weights?,options x criteria -> weighted comparison -> sensitivity -> recommendation
evaluation,Cost Benefit Analysis,Compare material costs benefits timing and uncertainty without hiding qualitative effects,Investment choices with meaningful economic consequences,What costs and benefits occur?|To whom?|When?|What is measurable versus qualitative?|Which assumptions dominate the result?,costs/benefits -> timing and uncertainty -> net case -> caveats
evaluation,Risk Assessment Matrix,Prioritise risks by likelihood and impact while recording the evidence confidence and limitations of ordinal scores,Choices where downside exposure materially affects the decision,What could happen?|What is the plausible likelihood and impact?|What evidence supports the rating?|Which risks are intolerable regardless of score?|What mitigations change exposure?,risks -> likelihood/impact/confidence -> priorities -> mitigations
evaluation,Pilot Testing Protocol,Design a bounded experiment that can distinguish success failure and inconclusive evidence,High-uncertainty or costly-to-reverse solutions,What assumption must be tested?|What is the smallest credible pilot?|What comparison or baseline is needed?|What are success stop and inconclusive criteria?|What decision follows each result?,hypothesis -> pilot -> measures -> decision rules
evaluation,Feasibility Study,Assess technical operational financial legal and delivery feasibility to expose blocking conditions,Options that may be attractive but difficult to execute,Is it technically possible?|Can operations sustain it?|Is it financially viable?|What legal or policy constraints apply?|Which dependency could block it?,option -> feasibility dimensions -> blockers -> conditions -> verdict
implementation,PDCA Cycle,Run an intervention as an explicit plan do check act learning loop,Continuous improvement and uncertain implementation,What is the change hypothesis?|What will we do?|What evidence will we check?|What did we learn?|What will we adopt adapt or abandon?,plan -> do -> check -> act -> next cycle
implementation,Dependency Sketch,Map the minimum actions dependencies milestones and ownership needed to test an intervention,Bounded pilots with real sequencing or handoff risks,What must happen first?|Where are the handoffs?|Who owns each action?|Which dependency could prevent the test?|What is the first review point?,actions -> dependencies -> ownership -> review point
implementation,Stakeholder Mapping,Map affected parties by interest influence impact and stance then plan proportionate involvement,Changes spanning teams customers partners or decision-makers,Who is affected?|Who can enable or block the change?|What do they need or fear?|Whose voice is missing?|What engagement is appropriate?,stakeholders -> interests/influence/impact -> engagement plan
implementation,Change Management Protocol,Plan the human transition from current to desired behaviour including communication support and reinforcement,Organisational change requiring sustained adoption,What behaviour changes?|Who experiences loss or friction?|What resistance is rational?|What communication training or support is needed?|How will the new behaviour be reinforced?,change impacts -> resistance -> support -> reinforcement
implementation,Monitoring Dashboard,Define a small set of leading outcome and guardrail measures with owners and action thresholds,Ongoing interventions needing visible feedback,What outcome proves improvement?|What leading indicators predict it?|What guardrails catch harm?|What baseline target and threshold apply?|Who reviews and acts?,measures -> baselines/targets -> thresholds -> review action
creative,Assumption Busting,Surface high-impact assumptions and explore what changes if each is false removed or inverted,Solution spaces constrained by inherited beliefs,What are we assuming?|How confident are we?|What happens if the opposite is true?|Which assumption most limits options?|How can we test it?,assumptions -> confidence/impact -> inversions -> tests and options
creative,Random Word Association,Use an unrelated stimulus to force new connections then translate promising properties back to the problem,Creative blocks where playful divergence is acceptable,What random word or object will we use?|What properties and associations arise?|How could each map to the problem?|Which connection contains a usable principle?,random stimulus -> associations -> mappings -> ideas
creative,Reverse Brainstorming,Ask how to cause or worsen the problem then reverse controllable causes into safeguards or interventions,Groups stuck in socially desirable or obvious answers,How could we guarantee failure?|How could we make the problem worse?|Which of these behaviours already occur?|What is the practical reverse?|Which reversals address a supported cause?,failure generation -> existing contributors -> reversals -> interventions
creative,Six Thinking Hats,Separate facts feelings cautions benefits creativity and process so each receives deliberate attention,Group decisions where modes of thinking are colliding,What facts do we have?|What is the felt response?|What could fail?|What value is possible?|What alternatives exist?|What process decision is next?,facts -> feelings -> cautions -> benefits -> alternatives -> process
creative,SCAMPER for Problems,Apply substitute combine adapt modify put-to-other-use eliminate and reverse lenses to an existing process or solution,Incremental-to-creative redesign of something concrete,What can be substituted?|Combined?|Adapted?|Modified?|Used differently?|Eliminated?|Reversed?,existing approach -> seven transformations -> candidate changes
