phase,method,what_it_does,best_for,watch_out
empathise,"User interviews","Explores recent concrete experiences through neutral questions","Motivations, context, workarounds, and decision criteria","Avoid leading questions and hypothetical preference as evidence"
empathise,"Empathy mapping","Organises what users say, think, do, and feel while marking inference","Synthesising several observations into a shared view","Do not invent thoughts or feelings"
empathise,"Journey mapping","Maps steps, channels, emotions, friction, and recovery across time","Experiences spanning several stages or touchpoints","Anchor stages and pain points in observed evidence"
empathise,"Jobs to be Done","Frames the progress a person seeks and alternatives competing for the job","Understanding the outcome behind a request","Do not reduce the job to a requested feature"
empathise,"Contextual observation","Observes real behaviour, environment constraints, and workarounds","Unspoken process or environmental constraints","Record behaviour separately from interpretation"
define,"Affinity clustering","Groups observations to expose patterns, contradictions, and minority cases","Finding structure in a body of research","Do not force disagreement into one theme"
define,"Point-of-view statement","Combines a specific user, need, and evidence-backed insight into one design challenge","Creating a precise problem frame","Avoid generic users and circular reasoning"
define,"How Might We","Turns an agreed challenge into open solution questions","Opening solution space without choosing a feature","Do not hide the preferred solution inside the question"
ideate,"Crazy 8s","Uses rapid sketching to push beyond the obvious first concept","Breaking fixation on one interface or service idea","Eight is a forcing device, not a quality target"
ideate,"SCAMPER","Transforms an existing concept through substitute, combine, adapt, modify, repurpose, eliminate, and reverse lenses","Improving or challenging something concrete","Use only lenses that create meaningful alternatives"
ideate,"Analogous inspiration","Transfers a useful principle from another domain into the current problem","Escaping category conventions","Translate the principle rather than copying surface form"
ideate,"Reverse assumptions","Temporarily inverts beliefs or conventions to reveal new options","Testing whether constraints are real or customary","Separate real constraints from convenient beliefs"
prototype,"Paper flow","Represents sequence, hierarchy, and comprehension with rough screens or cards","Cheap testing of flow and information order","Keep it rough enough that participants will criticise it"
prototype,"Storyboard","Shows context, actions, and outcomes over time","Testing an end-to-end experience or service moment","Include failure and recovery, not only the happy path"
prototype,"Role-play","Acts out service interactions, roles, and handoffs","Testing human or operational interactions","Define roles and observable breakdowns first"
prototype,"Wizard of Oz","Simulates automation manually so the experience can be tested early","Learning before the underlying system exists","Disclose simulation appropriately and protect participants"
test,"Moderated usability test","Observes a participant attempting neutral tasks while the researcher probes carefully","Finding comprehension, navigation, and interaction friction","Do not teach the intended path"
test,"Assumption test","Designs the cheapest credible test of one critical belief","Reducing a specific uncertainty quickly","Define what would contradict the assumption in advance"
test,"Feedback capture grid","Separates observations, questions, ideas, and requested changes after a session","Organising varied feedback without flattening it","Do not let stated preference outweigh observed behaviour"
implement,"Service blueprint","Maps frontstage experience, backstage work, systems, and handoffs","Aligning a service across people, process, and technology","Map evidence and failure points, not an idealised service"
implement,"Pilot","Runs a limited real-world version with measures, safety limits, and stop criteria","Learning in real conditions before broad rollout","Keep scope and rollback explicit"
implement,"Measurement framework","Defines behavioural, outcome, and feedback signals after launch","Checking whether the experience creates intended progress","Prefer outcome signals over vanity metrics"
